,Image,Accuracy,F1,Jaccard,Recall,Precision
206,pexels-photo-276080_0,0.9945030212402344,0.9940981565442474,0.9882655678699684,0.997607911155683,0.9906130111827606
207,pexels-photo-277062_0,0.8918495178222656,0.8871929747774776,0.7972568061385756,0.9483408331135855,0.8334529469812506
208,pexels-photo-284006_0,0.9918136596679688,0.9913185595119622,0.9827865565091842,0.9951915266902759,0.9874756201744064
209,pexels-photo-285977_0,0.9975662231445312,0.994778794376156,0.9896118275367982,0.9951045401706043,0.9944532617765924
210,pexels-photo-300849_0,0.9578475952148438,0.6600627576447425,0.49260721829369086,0.9877543504281374,0.49563409563409566
211,pexels-photo-300968_0,0.9970779418945312,0.9970410086838284,0.9940994769640807,0.9974802711413754,0.9966021329338265
212,pexels-photo-301279_0,0.995361328125,0.9941183299152575,0.9883054433544912,0.9944357890051191,0.9938010734490595
213,pexels-photo-301342_0,0.9915962219238281,0.979167257699982,0.9591848077813803,0.9852512988372314,0.9731578947368421
214,pexels-photo-302053_0,0.9914360046386719,0.9771065539500117,0.955237867368505,0.9885278035695862,0.9659462075083672
215,pexels-photo-304648_0,0.9961662292480469,0.9924242995303818,0.9849625185163018,0.9982560696358976,0.986660271590875
216,pexels-photo-305832_0,0.9940567016601562,0.691118160190325,0.5280218115722508,0.5377969762419006,0.9667221297836939
217,pexels-photo-306980_0,0.9902153015136719,0.9798347471285151,0.9604666933818317,0.9956223738237127,0.964539995047053
218,pexels-photo-310386_0,0.9990043640136719,0.8534531162268387,0.7443682664054848,0.9921671018276762,0.7487684729064039
219,pexels-photo-310825_0,0.9937629699707031,0.96373838408481,0.9300145535484976,0.9981623558597877,0.9316096389674985
220,pexels-photo-313690_0,0.9093513488769531,0.9086618107739319,0.8326124933081627,0.9874687763677831,0.84150387287846
221,pexels-photo-314373_0,0.9981193542480469,0.9918359911901568,0.9838042049934297,0.9935306217238404,0.9901471317573153
222,pexels-photo-318209_0,0.9973068237304688,0.9961175086063725,0.9922650480969389,0.9960408235087101,0.9961942055129023
223,pexels-photo-318236_0,0.9525489807128906,0.9429406287127124,0.892041312272175,0.9488031608001699,0.9371500993854515
224,pexels-photo-318377_0,0.9760017395019531,0.9775928821515961,0.9561679149973872,0.993714790517154,0.9619857420245764
225,pexels-photo-319961_0,0.9931831359863281,0.9885673706231967,0.9773931964527433,0.981877335231172,0.9953491967379962
226,pexels-photo-321576_0,0.9952926635742188,0.9924017585557183,0.9849181129308238,0.9934783948714787,0.991327453223604
227,pexels-photo-322484_0,0.9321403503417969,0.8842743483154107,0.7925553624946066,0.793907040312124,0.9978564087505506
228,pexels-photo-325523_0,0.9953956604003906,0.9904848996066251,0.981149166783801,0.9930134041476986,0.9879692389953921
